layer,group_idx,avg_scale,weight_variance
6,10,0.010949382558465004,0.00030191923724487424
6,11,0.010940426029264927,0.00030284334206953645
6,12,0.010985337197780609,0.0003034677938558161
6,13,0.0109705850481987,0.0003028864739462733
6,14,0.010927497409284115,0.0003024214238394052
6,15,0.010937567800283432,0.0003023069875780493
6,16,0.010945676825940609,0.00030065799364820123
6,17,0.01094857044517994,0.00030191699624992907
6,18,0.010964930057525635,0.0003030736406799406
6,19,0.010915594175457954,0.0002993250673171133
6,20,0.010976161807775497,0.0003014897811226547
6,21,0.010979786515235901,0.00030441515264101326
6,22,0.010964362882077694,0.00030132007668726146
6,23,0.010950937867164612,0.00030235867598094046
6,24,0.01095886342227459,0.00030265687382780015
6,25,0.010992946103215218,0.0003057151916436851
6,26,0.010976843535900116,0.0003029413055628538
6,27,0.010977029800415039,0.00030448634061031044
6,28,0.011005613952875137,0.0003041828458663076
6,29,0.010963810607790947,0.00030278260237537324
6,30,0.011028257198631763,0.0003064580087084323
6,31,0.010989727452397346,0.00030249112751334906
6,32,0.010996595956385136,0.00030421584961004555
6,33,0.011034729890525341,0.0003043559263460338
6,34,0.011047741398215294,0.00030500712455250323
6,35,0.011041244491934776,0.0003062799805775285
6,36,0.011041098274290562,0.00030638722819276154
6,37,0.011028174310922623,0.00030534935649484396
6,38,0.011046932078897953,0.00030734718893654644
6,39,0.010998522862792015,0.0003059321898035705
6,40,0.011044354178011417,0.00030641083139926195
6,41,0.011021084152162075,0.0003059300943277776
6,42,0.011102587915956974,0.0003091201069764793
7,0,0.010922756046056747,0.0003005277831107378
7,1,0.01093767024576664,0.0003002159355673939
7,2,0.01099872775375843,0.00030441515264101326
7,3,0.01097247563302517,0.00030157077708281577
7,4,0.010908126831054688,0.00030152968247421086
7,5,0.010960903018712997,0.00030263533699326217
7,6,0.01097402349114418,0.00030033595976419747
7,7,0.010953438468277454,0.0003021388256456703
7,8,0.010997955687344074,0.00030346817220561206
7,9,0.011004237458109856,0.0003032452368643135
7,10,0.01095273345708847,0.0003007675986737013
7,11,0.010944133624434471,0.00030192077974788845
7,12,0.010937031358480453,0.0003004911122843623
7,13,0.010999311693012714,0.00030488288030028343
7,14,0.010964812710881233,0.0003003329038619995
7,15,0.010990485548973083,0.00030321648227982223
7,16,0.010968109592795372,0.00030237389728426933
7,17,0.011018061079084873,0.0003069395024795085
7,18,0.010966259986162186,0.0003020533185917884
7,19,0.01099783182144165,0.0003047336358577013
7,20,0.011019456200301647,0.0003055181005038321
7,21,0.010961132124066353,0.0003021426382474601
7,22,0.010968692600727081,0.0003032003005500883
7,23,0.011001953855156898,0.00030532252276316285
7,24,0.01097732875496149,0.0003042555181309581
7,25,0.011024322360754013,0.0003057690628338605
7,26,0.010950558818876743,0.00030103736207820475
7,27,0.010987862944602966,0.0003039059811271727
7,28,0.011038754135370255,0.000306458561681211
7,29,0.011004311963915825,0.00030190328834578395
7,30,0.011048576794564724,0.00030673862784169614
7,31,0.011003376916050911,0.00030439349939115345
7,32,0.011061348021030426,0.0003061989264097065
7,33,0.011065579950809479,0.0003081122995354235
7,34,0.0110552366822958,0.00030697378679178655
7,35,0.011042946949601173,0.0003059807058889419
7,36,0.011087587103247643,0.0003066927311010659
7,37,0.011073139496147633,0.00030963661265559494
7,38,0.011050708591938019,0.00030858934042043984
7,39,0.011066313832998276,0.00030712783336639404
7,40,0.011076351627707481,0.0003079916932620108
7,41,0.011050436645746231,0.00030690987478010356
7,42,0.011102632619440556,0.00031001618481241167
8,0,0.011093651875853539,0.0003095566644333303
8,1,0.011065328493714333,0.0003075682616326958
8,2,0.011103912256658077,0.0003095606225542724
8,3,0.011054608970880508,0.00030632835114374757
8,4,0.011070748791098595,0.0003075318527407944
8,5,0.011088197119534016,0.0003078307199757546
8,6,0.011096592992544174,0.00030964333564043045
8,7,0.01105709932744503,0.0003075326094403863
8,8,0.011088810861110687,0.0003079244343098253
8,9,0.011086191050708294,0.00030975573463365436
8,10,0.01111956499516964,0.0003100454341620207
8,11,0.011088878847658634,0.00030893165967427194
8,12,0.011082865297794342,0.000306907226331532
8,13,0.011085845530033112,0.00030859827529639006
8,14,0.011109155602753162,0.00030933861853554845
8,15,0.01113991066813469,0.00031162091181613505
8,16,0.011114384979009628,0.00031102984212338924
8,17,0.011069148778915405,0.00030846503796055913
8,18,0.011156017892062664,0.00030988792423158884
8,19,0.011081832461059093,0.00030739716021344066
8,20,0.011091277003288269,0.0003102720365859568
8,21,0.011072291992604733,0.0003089382080361247
8,22,0.011084174737334251,0.00030977604910731316
8,23,0.011117908172309399,0.0003093758423347026
8,24,0.011050278320908546,0.0003068408987019211
8,25,0.011085869744420052,0.0003089804667979479
8,26,0.011115796864032745,0.00031082541681826115
8,27,0.01116091851145029,0.00031324278097599745
8,28,0.011148001067340374,0.00031185062834993005
8,29,0.011151213198900223,0.00031189285800792277
8,30,0.011139120906591415,0.0003123079368378967
8,31,0.01109650731086731,0.0003100310859736055
8,32,0.011143391951918602,0.000313866650685668
8,33,0.011210598051548004,0.0003147922398056835
8,34,0.01116790622472763,0.0003114126157015562
8,35,0.011180791072547436,0.0003150510019622743
8,36,0.011157574132084846,0.0003120515320915729
8,37,0.011139057576656342,0.00031280500115826726
8,38,0.01116134598851204,0.0003136365266982466
8,39,0.01123049482703209,0.0003159873594995588
8,40,0.011206621304154396,0.00031502239289693534
8,41,0.011145589873194695,0.0003131781122647226
8,42,0.011203315109014511,0.0003152916906401515
9,0,0.011128268204629421,0.0003102827467955649
9,1,0.011186333373188972,0.0003127251984551549
9,2,0.011222108267247677,0.00031608217977918684
9,3,0.01117795705795288,0.0003132301790174097
9,4,0.011105974204838276,0.00030991327366791666
9,5,0.011253987438976765,0.0003148820251226425
9,6,0.011147977784276009,0.00031022404436953366
9,7,0.011153211817145348,0.00031097911414690316
9,8,0.011125919409096241,0.0003117344749625772
9,9,0.011186465620994568,0.0003136197046842426
9,10,0.011142999865114689,0.00031180723453871906
9,11,0.011197823099792004,0.00031480929465033114
9,12,0.011156043037772179,0.0003104420902673155
9,13,0.011145533062517643,0.00031279196264222264
